"","iliad.txt","odyssey.txt"
"calcha",3,0
"calcul",9,2
"caldron",4,0
"calesius",1,0
"caligula",1,0
"call",154,83
"calld",28,0
"callianassa",1,0
"callianira",1,0
"calliarus",1,0
"callida",1,0
"callow",2,0
"callsand",1,0
"calm",19,4
"calmet",1,0
"calmuck",1,0
"calumni",1,0
"calydna",1,0
"calydon",6,0
"calypso",1,35
"cambray",1,0
"came",91,211
"camilla",1,0
"camirus",1,0
"camp",49,11
"campaign",2,0
"campd",1,0
"camst",1,0
"can",187,266
"candid",1,0
"candour",1,0
"cane",1,0
"canist",2,0
"cano",1,0
"canst",14,0
"canto",2,0
"canva",4,0
"cap",1,1
"capabl",6,1
"capaci",2,0
"capaneus",3,0
"capi",1,0
"capit",2,3
"captain",3,7
"captious",1,0
"captiv",40,2
"captur",1,1
"car",130,0
"carcas",26,1
"card",1,2
"cardamyl",2,0
"care",213,51
"career",7,0
"careless",6,1
"caressd",2,0
"caresus",1,0
"carey",2,0
"cari",2,1
"caria",1,0
"carian",2,0
"caristo",1,0
"carnag",11,0
"carnarvon",1,0
"carnivor",1,0
"carpet",9,1
"carri",19,70
"carv",1,3
"casaub",1,0
"case",19,23
"casket",1,0
"casqu",7,0
"cassandra",2,1
"cast",61,7
"castianira",1,0
"castor",4,2
"casual",1,0
"casus",1,0
"catalogu",8,1
"cataract",1,0
"catch",10,12
"catchd",1,0
"cathol",1,0
"cattl",1,32
"caucan",1,0
"caucon",1,0
"caught",1,31
"caul",3,0
"cauldron",1,10
"caus",86,12
"caution",4,0
"cautious",4,0
"cave",6,48
"cavern",3,4
"cavernd",2,0
"cavil",1,0
"caviti",1,0
"caxton",1,0
"cayster",2,0
"ccoleridg",1,0
"ceas",54,16
"cebrion",6,0
"cedarbeam",1,0
"ceil",1,1
"celadon",2,0
"celebr",11,5
"celesti",57,0
"cell",1,1
"cellenius",1,0
"celtic",1,0
"cement",1,0
"ceneus",1,0
"censur",5,0
"centaur",6,2
"cento",1,0
"centr",17,0
"centuri",12,2
"cepend",1,0
"cephalenia",1,0
"cephisus",2,0
"cere",11,1
"ceremoni",4,0
"cerinthus",1,0
"certain",30,24
"cessi",1,0
"cession",1,0
"cestus",1,0
"cett",1,0
"ceus",1,0
"chaff",1,1
"chain",23,8
"chaind",2,0
"chair",1,1
"chalca",5,0
"chalci",3,1
"chalcon",1,0
"chalki",3,0
"challeng",4,4
"chamber",8,4
"champaign",4,0
"champion",11,1
"chanc",19,8
"chancellor",1,0
"chandler",2,0
"chang",21,25
"channel",6,2
"chantrey",1,0
"chap",1,0
"chapman",7,0
"charact",51,2
"character",2,0
"characterist",4,0
"characteristicsstil",1,0
"charg",66,22
"charger",6,0
"chari",4,0
"chariot",141,23
"chariotrac",1,0
"chariotsid",1,0
"chariotwheel",1,0
"charit",1,1
"chariti",1,1
"charl",1,0
"charm",64,12
"charmd",4,0
"charop",1,0
"charopus",1,0
"chase",35,2
"chaser",2,0
"chast",1,0
"chasten",1,0
"chastis",5,1
"chatter",1,2
"chatterd",1,0
"chaucer",1,0
"che",1,0
"cheat",3,0
"check",18,15
"checkd",8,0
"cheek",17,10
"cheer",14,4
"cheerd",3,0
"cheerless",1,0
"chees",1,6
"cherish",2,1
"chersidama",1,0
"chersones",1,0
"chest",7,15
"chian",4,0
"chide",3,4
"chief",380,37
"chiefli",3,0
"chieftain",5,5
"child",10,47
"children",24,30
"chill",2,1
"chimaera",2,0
"chimer",1,0
"chin",2,2
"chine",3,0
"chio",6,2
"chiron",4,0
"choic",10,4
"choicest",3,1
"choir",1,0
"choke",5,0
"choler",1,0
"choos",7,17
"choricius",1,0
"chose",10,7
"chosen",18,4
"christ",3,0
"christian",3,0
"chromi",1,0
"chromius",4,1
"chronicl",1,0
"chrono",1,0
"chrysa",8,0
"chryse",5,0
"chrysei",8,0
"chrysothemi",2,0
